IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
50;F-0001;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
51;F-0002;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
52;F-0003;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
53;F-0004;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
54;F-0005;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
55;F-0006;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
56;F-0007;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
60;2Fingers-0001;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
61;2Fingers-0002;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
62;2Fingers-0003;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0003;;;;;4;;;;;5;1;5;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
63;2Fingers-0004;500;;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0004;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
64;2Fingers-0005;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0005;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
65;2Fingers-0006;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Heroes;A thin transparent film of 8-10 microns.;2Fingers;Heroes;16;Lucky Rose;;;;WD-TF-2F-0006;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
66;2Fingers-0007;500;;Colorful water decal on transparent film. Use only on white background.;;;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0007;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1,99;USD
76;Minic-0001;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Lace;A thin transparent film of 8-10 microns.;Minic;Lace;8;Lucky Rose;;;;WD-TF-M-0001;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
77;Minic-0002;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Butterfly;A thin transparent film of 8-10 microns.;Minic;Butterfly;8;Lucky Rose;;;;WD-TF-M-0002;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
78;Minic-0003;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;Minic;Pattern;8;Lucky Rose;;;;WD-TF-M-0003;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
79;Minic-0004;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;Minic;Fruits;8;Lucky Rose;;;;WD-TF-M-0004;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
80;Minic-0005;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0005;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
81;Minic-0006;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
82;Minic-0007;500;;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
92;Black-0001;500;;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;;;;WD-TF-B-0001;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
93;Black-0002;500;;Black water decal on transparent film. Can be used on any background.;;;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
