IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
50;F-0001;500;;;/upload/iblock/6fe/6fe39d77653c7ff9010b1efab3c40c2f.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
51;F-0002;500;;;/upload/iblock/339/339d4916c4f647ffdc47140b7274b4b9.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
52;F-0003;500;;;/upload/iblock/ef4/ef4f2ea216bd02c443e5b738b0ede364.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
53;F-0004;500;;;/upload/iblock/b13/b1394b525994c6ae486693cb66582e8c.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
54;F-0005;500;;;/upload/iblock/994/994ebd5ad995525bd8c7139302f9ef27.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
55;F-0006;500;;;/upload/iblock/e60/e60dcc58afb9f47cfb62c27487149d3e.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
56;F-0007;500;;;/upload/iblock/b3d/b3d31aebf809113af24f35bafd39374a.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
60;2Fingers-0001;500;;;/upload/iblock/4f0/4f0d76af7e9fbc9646d26d23ac7a80ee.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
61;2Fingers-0002;500;;;/upload/iblock/39f/39f3998e5a521966b9cfb720592e164a.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
62;2Fingers-0003;500;;;/upload/iblock/da6/da65a12350acb7c27f4c54c307a3f663.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0003;;;;;4;;;;;5;1;5;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
63;2Fingers-0004;500;;;/upload/iblock/b64/b6427fc0a3c6078378a8bf562d37b87f.png;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0004;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
64;2Fingers-0005;500;;;/upload/iblock/295/2950f7e39678cc179f6468d5b35b2919.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0005;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
65;2Fingers-0006;500;;;/upload/iblock/826/82636641674588d880eb63f328d8381e.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Heroes;A thin transparent film of 8-10 microns.;2Fingers;Heroes;16;Lucky Rose;;;;WD-TF-2F-0006;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
66;2Fingers-0007;500;;;/upload/iblock/aad/aad76fad2355e1bb5bbacc89e40cf5b3.png;Colorful water decal on transparent film. Use only on white background.;;;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0007;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
76;Minic-0001;500;;;/upload/iblock/3e3/3e3f373325d5162f498303eed2c14dd8.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Lace;A thin transparent film of 8-10 microns.;Minic;Lace;8;Lucky Rose;;;;WD-TF-M-0001;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
77;Minic-0002;500;;;/upload/iblock/825/825ff26f77dbb143c7a14abbbfebb485.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Butterfly;A thin transparent film of 8-10 microns.;Minic;Butterfly;8;Lucky Rose;;;;WD-TF-M-0002;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
78;Minic-0003;500;;;/upload/iblock/892/8924f3a6eff7b0d039211352ff743020.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;Minic;Pattern;8;Lucky Rose;;;;WD-TF-M-0003;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
79;Minic-0004;500;;;/upload/iblock/df1/df18580c0d52bc23526ac8f28ec58752.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;Minic;Fruits;8;Lucky Rose;;;;WD-TF-M-0004;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
80;Minic-0005;500;;;/upload/iblock/882/8821080bfd0c33e303488216ab42b889.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0005;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
81;Minic-0006;500;;;/upload/iblock/a02/a0273730838e88ed751cd71d8fc8f3a9.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
82;Minic-0007;500;;;/upload/iblock/174/174d968f5fecdca213d5c680eed823da.png;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
92;Black-0001;500;/upload/iblock/a10/a10e6c2af727f9f719132a78e030e3b9.jpg;;/upload/iblock/fa1/fa1f314e5ad7afa6fb0704069fb01d58.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;;;;WD-TF-B-0001;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
93;Black-0002;500;;;/upload/iblock/a6b/a6be55b2dcac2c86b1de7afd8d9066c2.png;Black water decal on transparent film. Can be used on any background.;;;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
94;Black-0003;500;/upload/iblock/303/303d039400165f500bbd8846c79934f6.jpg;;/upload/iblock/f5d/f5df319f0b740637d0d5650cdec0c3c8.png;Black water decal on transparent film. Can be used on any background.;;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0003;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
95;Black-0004;500;;;/upload/iblock/23c/23c101bcc02fc51e0e29a6209dfe9812.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0004;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
96;Black-0005;500;;;/upload/iblock/e7a/e7adab4e7fe727b4f7a53db05f152397.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0005;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
98;White-0001;500;;;/upload/iblock/bbf/bbf61f8b21d60ba3d4bcd09acbbdc7e6.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Geometry;A thin transparent film of 8-10 microns.;White;Geometry;14;Lucky Rose;;;;WD-TF-W-0001;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
99;White-0002;500;;;/upload/iblock/0b9/0b9fbcd672e1944828d08299c60efea3.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0002;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
100;White-0003;500;;;/upload/iblock/a47/a473f093047235b30e16b813728d625d.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0003;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
101;White-0004;500;;;/upload/iblock/4cb/4cb623bc7c8221bc444cab334cc0601a.png;White water decal on transparent film. Can be used on any background.;;;White;Thematic;A thin transparent film of 8-10 microns.;White;Thematic;14;Lucky Rose;;;;WD-TF-W-0004;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
102;White-0005;500;;;/upload/iblock/825/8250b89ee730f38ff167cc878fe39ad8.png;White water decal on transparent film. Can be used on any background.;;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0005;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
103;White-0006;500;;;/upload/iblock/93a/93a10acbf18d5dd2238fa77454a1ea36.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0006;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
