IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP76;IP_PROP71;IP_PROP75;IP_PROP72;IP_PROP74;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP51;IP_PROP53;IP_PROP59;IP_PROP50;IP_PROP52;IP_PROP57;IP_PROP61;IP_PROP54;IP_PROP56;IP_PROP49;IP_PROP55;IP_PROP58;IP_PROP60;IP_PROP63;IP_PROP62;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2
50;F-0001;50;Y;;;;;text;/upload/iblock/7ab/7ab9da616730887c3bcc5e9e71d44ec8.png;Colorful water decal on transparent film. Use only on white background.;text;F_0001;500;;;;Colorful;Chabby Chic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Chabby Chic;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;
51;F-0002;51;Y;;;;;text;/upload/iblock/87b/87b7d6d9eb11eb5e6a4091bdcc7da2c2.png;Colorful water decal on transparent film. Use only on white background.;text;0002_f;500;;;;Colorful;Chabby Chic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Chabby Chic;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;
52;F-0003;52;Y;;;;;text;/upload/iblock/6f5/6f57162475dde9bf179a2d694d2caada.png;Colorful water decal on transparent film. Use only on white background.;text;0003_f;500;;;;Colorful;Chabby Chic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Chabby Chic;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;
53;F-0004;53;Y;;;;;text;/upload/iblock/f0f/f0fbc55e7191da2d5a0b6f14eea73674.png;Colorful water decal on transparent film. Use only on white background.;text;0004_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;
54;F-0005;54;Y;;;;;text;/upload/iblock/77f/77f947a3d12b96f659e89794d41fe34d.png;Colorful water decal on transparent film. Use only on white background.;text;0005_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;
55;F-0006;55;Y;;;;;text;/upload/iblock/66d/66d7a7989e1d096ec9dfa16746962799.png;Colorful water decal on transparent film. Use only on white background.;text;0006_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;
56;F-0007;56;Y;;;;;text;/upload/iblock/88f/88f02abd61dc094dab275e8678f8696f.png;Colorful water decal on transparent film. Use only on white background.;text;0007_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;
60;2Fingers-0001;60;Y;;;;;text;/upload/iblock/5bb/5bbcc17d444af2e217566642667c2a14.png;Colorful water decal on transparent film. Use only on white background.;text;0001_2fingers;500;;;;Colorful;Fruits;Lucky Rose;A thin transparent film of 8-10 microns.;16;2Fingers;Fruits;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;
61;2Fingers-0002;61;Y;;;;;text;/upload/iblock/245/24515f77bef09ccbce7e91465a165477.png;Colorful water decal on transparent film. Use only on white background.;text;0002_2fingers;500;;;;Colorful;Mixed;Lucky Rose;A thin transparent film of 8-10 microns.;16;2Fingers;Mixed;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;
62;2Fingers-0003;62;Y;;;;;text;/upload/iblock/719/71979881838d37aa1d37db0ba210d549.png;Colorful water decal on transparent film. Use only on white background.;text;0003_2fingers;500;;;;Colorful;Mixed;Lucky Rose;A thin transparent film of 8-10 microns.;16;2Fingers;Mixed;;;;WD-TF-2F-0003;;;4;;;;;1;;;5;;;5;;;;;2 Fingers series;;
