IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
50;F-0001;0;;;/upload/iblock/393/393e29c3357e582f8c7e210cc2ba8867.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
51;F-0002;500;;;/upload/iblock/266/2665dd5f63e8a2207778fa4b966a46ae.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
52;F-0003;500;;;/upload/iblock/3c2/3c2f221ee1083fe0120bbde7ff374347.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
53;F-0004;500;;;/upload/iblock/212/2124deb7c0fdc434819712031e0dee33.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
54;F-0005;500;;;/upload/iblock/1be/1be24b000696649ea09e99c69e14871c.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
55;F-0006;500;;;/upload/iblock/635/6356abaec38c67e965e2673171f68b31.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
56;F-0007;500;;;/upload/iblock/e35/e35c87d92a9c2d0ce582e79de4e1066f.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1.99;USD
60;2Fingers-0001;500;;;/upload/iblock/baa/baa99bb1e18f9c6f6f49a9dc102a6713.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
61;2Fingers-0002;500;;;/upload/iblock/b5f/b5ffab7f7fe701ef993103865f1ceb7c.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
62;2Fingers-0003;500;;;/upload/iblock/453/4539846aef956056df2a4feb4feb3f67.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0003;;;;;4;;;;;5;1;5;;;;;;;2 Fingers series;;;200;0;0;0;0;;;1.99;USD
