IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
50;F-0001;0;;;/upload/iblock/75e/75ef6b2c2af5d5c32e34a1284aa57f8b.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
51;F-0002;500;;;/upload/iblock/bfd/bfd2408ae36818321ba1ec1d07825997.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
52;F-0003;500;;;/upload/iblock/191/1911f7ec4db3f056411bc76a32e25d85.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
53;F-0004;500;;;/upload/iblock/c84/c84943618478e5053cbd7d9121eaf610.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
54;F-0005;500;;;/upload/iblock/87d/87d73333f5dd0fc027014827faf2e20a.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
55;F-0006;500;;;/upload/iblock/124/124d885cdf40bdf2a07fc6572d2b5e75.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
56;F-0007;500;;;/upload/iblock/048/048cdd0a5a6f5f37f1f0ae10a5425830.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
60;2Fingers-0001;500;;;/upload/iblock/ff1/ff17a43be5dbe5bda16fbdee19e7f570.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;;1000;0;0;0;0;;;1.99;USD
61;2Fingers-0002;500;;;/upload/iblock/f57/f5717266dfd57290ffb05680c5755c3c.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;;1000;0;0;0;0;;;1.99;USD
62;2Fingers-0003;500;;;/upload/iblock/d47/d470157987417c6e8dab3cdf0b559b4f.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0003;;;;;4;;;;;5;1;5;;;;;;;2 Fingers series;;;1000;0;0;0;0;;;1.99;USD
