IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
2Fingers-0001;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;WD-TF-2F-0001;100;;;1,99;USD
2Fingers-0002;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0002;100;;;1,99;USD
2Fingers-0003;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0003;100;;;1,99;USD
2Fingers-0004;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0004;100;;;1,99;USD
2Fingers-0005;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0005;100;;;1,99;USD
2Fingers-0006;Colorful;Heroes;A thin transparent film of 8-10 microns.;2Fingers;Heroes;16;Lucky Rose;WD-TF-2F-0006;100;;;1,99;USD
2Fingers-0007;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0007;100;;;1,99;USD
2Fingers-0008;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0008;100;;;1,99;USD
2Fingers-0009;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0009;100;;;1,99;USD
2Fingers-0010;Black;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0010;100;;;1,99;USD
2Fingers-0011;Colorful;Floral;A thin transparent film of 8-10 microns.;2Fingers;Floral;16;Lucky Rose;WD-TF-2F-0011;100;;;1,99;USD
2Fingers-0012;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0012;100;;;1,99;USD
2Fingers-0013;Colorful;Floral;A thin transparent film of 8-10 microns.;2Fingers;Floral;16;Lucky Rose;WD-TF-2F-0013;100;;;1,99;USD
2Fingers-0014;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0014;100;;;1,99;USD
2Fingers-0015;Colorful;Animals;A thin transparent film of 8-10 microns.;2Fingers;Animals;16;Lucky Rose;WD-TF-2F-0015;100;;;1,99;USD
2Fingers-0016;Black;Lace;A thin transparent film of 8-10 microns.;2Fingers;Lace;16;Lucky Rose;WD-TF-2F-0016;100;;;1,99;USD
2Fingers-0017;Colorful;Animals;A thin transparent film of 8-10 microns.;2Fingers;Animals;16;Lucky Rose;WD-TF-2F-0017;100;;;1,99;USD
2Fingers-0018;Colorful;Seosons;A thin transparent film of 8-10 microns.;2Fingers;Seosons;16;Lucky Rose;WD-TF-2F-0018;100;;;1,99;USD
2Fingers-0019;Colorful;Thematic;A thin transparent film of 8-10 microns.;2Fingers;Thematic;16;Lucky Rose;WD-TF-2F-0019;100;;;1,99;USD
2Fingers-0020;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0020;100;;;1,99;USD
2Fingers-0021;Colorful;Others;A thin transparent film of 8-10 microns.;2Fingers;Others;16;Lucky Rose;WD-TF-2F-0021;100;;;1,99;USD
2Fingers-0022;Colorful;Pattern;A thin transparent film of 8-10 microns.;2Fingers;Pattern;16;Lucky Rose;WD-TF-2F-0022;100;;;1,99;USD
2Fingers-0023;Colorful;Others;A thin transparent film of 8-10 microns.;2Fingers;Others;16;Lucky Rose;WD-TF-2F-0023;100;;;1,99;USD
2Fingers-0024;Colorful;Butterfly;A thin transparent film of 8-10 microns.;2Fingers;Butterfly;16;Lucky Rose;WD-TF-2F-0024;100;;;1,99;USD
2Fingers-0025;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;WD-TF-2F-0025;100;;;1,99;USD
3D slider-0001;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0001;100;;;1,99;USD
3D slider-0002;Black-White;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0002;100;;;1,99;USD
3D slider-0003;White;Lace;A thin transparent film of 8-10 microns.;3D slider;Lace;14;Lucky Rose;WD-TF-3D-0003;100;;;1,99;USD
3D slider-0004;Black;Lace;A thin transparent film of 8-10 microns.;3D slider;Lace;14;Lucky Rose;WD-TF-3D-0004;100;;;1,99;USD
3D slider-0005;Black-White;Geometry;A thin transparent film of 8-10 microns.;3D slider;Geometry;30;Lucky Rose;WD-TF-3D-0005;100;;;1,99;USD
3D slider-0006;Colorful;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;14;Lucky Rose;WD-TF-3D-0006;100;;;1,99;USD
